,0
0,story
1,however
2,golden
3,union
4,way
5,active
6,negative
7,relief
8,allocate
9,form
10,demand
11,western
12,million
13,communication
14,cheer
15,handling
16,sport
17,important
18,owner
19,capacity
20,bring
21,peace
22,sit
23,data
24,tech
25,close
26,card
27,jinping
28,away
29,rule
30,whether
31,choose
32,origin
33,fish
34,normal
35,regard
36,former
37,evidence
38,cure
39,mother
40,custom
41,type
42,recent
43,immunity
44,desert
45,since
46,investigation
47,wide
48,message
49,ill
50,less
51,spirit
52,child
53,public
54,may
55,hear
56,decade
57,rate
58,life
59,country
60,believe
61,prevent
62,transportation
63,post
64,impose
65,thing
66,surpass
67,front
68,joint
69,west
70,focus
71,role
72,local
73,abroad
74,growth
75,detect
76,viral
77,register
78,traffic
79,insurance
80,immunization
81,economic
82,pet
83,rebound
84,mean
85,discrimination
86,voice
87,relationship
88,win
89,towards
90,tough
91,second
92,never
93,import
94,number
95,term
96,highly
97,related
98,vow
99,top
100,lady
101,order
102,detail
103,research
104,much
105,mayor
106,wife
107,road
108,compare
109,probe
110,parent
111,crucial
112,one
113,center
114,even
115,novel
116,ease
117,honor
118,relate
119,equipment
120,guard
121,initiative
122,say
123,embassy
124,ten
125,qingdao
126,meet
127,keep
128,recently
129,note
130,cancel
131,manufacture
132,afternoon
133,something
134,football
135,map
136,activity
137,city
138,kit
139,wave
140,tokyo
141,fuel
142,whole
143,curfew
144,fast
145,race
146,protection
147,hold
148,rise
149,price
150,delay
151,volunteer
152,design
153,point
154,seek
155,act
156,year
157,economist
158,challenge
159,involve
160,sky
161,continue
162,patient
163,deadly
164,today
165,exclusive
166,northern
167,plasma
168,lunar
169,australian
170,campaign
171,medical
172,pray
173,address
174,coal
175,clinical
176,could
177,speed
178,half
179,hope
180,airport
181,percent
182,lead
183,affair
184,cruise
185,allow
186,purchase
187,technology
188,paper
189,target
190,joe
191,practice
192,might
193,walter
194,special
195,hospitalize
196,girl
197,love
198,world
199,suffer
200,deputy
201,strategy
202,implement
203,program
204,election
205,state
206,soon
207,line
208,sell
209,nit
210,season
211,safe
212,rally
213,war
214,france
215,fact
216,make
217,africa
218,tackle
219,alert
220,fair
221,researcher
222,least
223,disaster
224,cut
225,anti
226,underway
227,infect
228,rich
229,social
230,propose
231,moment
232,build
233,turkey
234,face
235,home
236,praise
237,plant
238,old
239,ready
240,approve
241,ban
242,air
243,aid
244,strict
245,presidential
246,port
247,pneumonia
248,signal
249,light
250,far
251,picture
252,pass
253,attempt
254,central
255,scientist
256,still
257,epidemic
258,shut
259,admit
260,speedy
261,confirm
262,self
263,event
264,progress
265,decide
266,resource
267,company
268,newly
269,every
270,serious
271,young
272,able
273,produce
274,assembly
275,like
276,flu
277,field
278,artist
279,buy
280,shanghai
281,shop
282,climate
283,nine
284,pilot
285,scientific
286,spike
287,spend
288,twitter
289,investment
290,national
291,strengthen
292,potential
293,age
294,isolation
295,solution
296,hotel
297,economy
298,cause
299,consider
300,remote
301,medium
302,science
303,answer
304,secretary
305,expect
306,push
307,assist
308,blood
309,service
310,priority
311,explain
312,cold
313,family
314,know
315,peak
316,ongoing
317,robot
318,court
319,safety
320,racist
321,weekly
322,success
323,regional
324,deadline
325,senior
326,strength
327,another
328,employee
329,set
330,man
331,dead
332,team
333,policy
334,together
335,decision
336,princess
337,administer
338,double
339,antibody
340,poverty
341,game
342,teacher
343,quickly
344,catch
345,ago
346,business
347,customer
348,operation
349,account
350,remove
351,offer
352,health
353,put
354,add
355,traditional
356,trial
357,good
358,approval
359,combat
360,receive
361,slow
362,hubei
363,human
364,poor
365,wear
366,government
367,island
368,enter
369,phone
370,pharmaceutical
371,many
372,send
373,population
374,spread
375,meal
376,wild
377,press
378,couple
379,hard
380,communist
381,transport
382,track
383,healthy
384,leader
385,laboratory
386,stop
387,get
388,auto
389,walk
390,investigate
391,mount
392,launch
393,door
394,large
395,infection
396,citizen
397,eliminate
398,quarantine
399,current
400,river
401,average
402,hero
403,care
404,exchange
405,currently
406,reduce
407,place
408,especially
409,affect
410,asia
411,living
412,department
413,theme
414,show
415,temperature
416,vehicle
417,lose
418,inoculate
419,recovery
420,response
421,lab
422,discuss
423,yet
424,asymptomatic
425,nation
426,pick
427,adopt
428,animal
429,toward
430,march
431,step
432,trip
433,effect
434,gain
435,medic
436,faster
437,agree
438,prevention
439,join
440,common
441,night
442,video
443,arm
444,seven
445,highlight
446,infectious
447,hail
448,temporary
449,fire
450,control
451,embrace
452,prime
453,dog
454,treatment
455,visit
456,test
457,chair
458,ship
459,student
460,beijing
461,create
462,india
463,seem
464,province
465,pompeo
466,stand
467,system
468,review
469,commitment
470,attend
471,image
472,institute
473,cambodia
474,severe
475,organization
476,mass
477,move
478,conversation
479,contract
480,body
481,run
482,rescue
483,festival
484,model
485,market
486,read
487,trade
488,reopen
489,education
490,deep
491,virus
492,comment
493,quality
494,milestone
495,update
496,confirmed
497,would
498,release
499,death
500,platform
501,side
502,zero
503,learn
504,kim
505,disease
506,area
507,shortage
508,diagnosis
509,alone
510,assistance
511,goal
512,hot
513,arrive
514,big
515,strain
516,task
517,free
518,development
519,likely
520,detection
521,nationwide
522,drive
523,become
524,conduct
525,locally
526,personnel
527,long
528,host
529,confidence
530,aim
531,east
532,party
533,station
534,epicenter
535,expert
536,high
537,member
538,consecutive
539,although
540,happen
541,impact
542,avoid
543,advisory
544,increase
545,security
546,united
547,shake
548,donate
549,ask
550,grant
551,must
552,figure
553,flag
554,partner
555,class
556,ability
557,right
558,drone
559,spring
560,tie
561,speak
562,outbreak
563,try
564,standard
565,pressure
566,discharge
567,flight
568,china
569,quarter
570,germany
571,stick
572,dollar
573,help
574,strong
575,school
576,record
577,university
578,book
579,early
580,dance
581,different
582,suit
583,kick
584,ministry
585,advance
586,mark
587,ensure
588,racism
589,executive
590,postpone
591,premier
592,wish
593,thanks
594,son
595,worker
596,enjoy
597,global
598,enough
599,outside
600,distribute
601,emerge
602,protect
603,final
604,bed
605,vice
606,beef
607,source
608,plane
609,commission
610,transmit
611,effectively
612,fiscal
613,fresh
614,reporter
615,shenzhen
616,committee
617,phase
618,council
619,improve
620,action
621,package
622,include
623,lot
624,respiratory
625,efficacy
626,five
627,temporarily
628,nurse
629,restriction
630,authority
631,professor
632,scale
633,variant
634,food
635,document
636,regulator
637,three
638,trend
639,room
640,space
641,limit
642,accord
643,agriculture
644,music
645,list
646,problem
647,community
648,difference
649,grow
650,british
651,reserve
652,asian
653,support
654,attack
655,extend
656,contact
657,neighbor
658,county
659,revenue
660,traveler
661,maker
662,perform
663,park
664,follow
665,doctor
666,eastern
667,thailand
668,expand
669,fully
670,resident
671,globally
672,blessing
673,debate
674,overcome
675,malaysia
676,available
677,isolate
678,hong
679,bus
680,confident
681,tariff
682,winter
683,generation
684,without
685,within
686,fever
687,japan
688,hundred
689,condition
690,celebration
691,hop
692,head
693,new
694,third
695,upcoming
696,force
697,meat
698,range
699,information
700,pause
701,fly
702,production
703,yuan
704,store
705,conference
706,gather
707,symptom
708,border
709,statement
710,find
711,hospital
712,anniversary
713,inner
714,last
715,end
716,identify
717,access
718,mike
719,past
720,infected
721,plan
722,zone
723,best
724,quick
725,sound
726,person
727,participate
728,director
729,german
730,carbon
731,fight
732,struggle
733,foreign
734,rest
735,south
736,democratic
737,boost
738,thousand
739,fourth
740,coronavirus
741,holiday
742,per
743,income
744,file
745,leave
746,minister
747,come
748,delivery
749,pledge
750,urge
751,water
752,date
753,next
754,trust
755,claim
756,rural
757,busy
758,export
759,dose
760,well
761,college
762,headline
763,feel
764,facility
765,bill
766,also
767,mission
768,eight
769,give
770,domestic
771,curb
772,appear
773,discover
774,first
775,oppose
776,hand
777,xinhua
778,call
779,kill
780,stage
781,reject
782,spot
783,report
784,immediate
785,interview
786,green
787,canada
788,car
789,need
790,provide
791,return
792,fifth
793,interest
794,supply
795,mid
796,across
797,inside
798,covid
799,deal
800,defense
801,suspected
802,administration
803,accelerate
804,network
805,though
806,panic
807,amid
808,president
809,watch
810,square
811,police
812,save
813,name
814,talk
815,welcome
816,chartered
817,guide
818,despite
819,society
820,link
821,protest
822,concern
823,secure
824,mental
825,restaurant
826,draw
827,overall
828,firm
829,giant
830,driver
831,producer
832,daily
833,back
834,suspend
835,situation
836,part
837,previous
838,strand
839,north
840,protective
841,positive
842,complete
843,representative
844,decline
845,critical
846,officially
847,satellite
848,deliver
849,safely
850,bear
851,publish
852,around
853,red
854,tourism
855,commerce
856,project
857,count
858,look
859,trump
860,village
861,land
862,warn
863,illness
864,develop
865,pay
866,four
867,lam
868,spreading
869,low
870,monetary
871,day
