Id,Label
talk,talk
university,university
challenge,challenge
china,china
face,face
deal,deal
people,people
medium,medium
watch,watch
spring,spring
always,always
bring,bring
along,along
sea,sea
flower,flower
look,look
blossom,blossom
across,across
enjoy,enjoy
upcoming,upcoming
new,new
season,season
mean,mean
brazil,brazil
year,year
one,one
school,school
take,take
world,world
make,make
great,great
track,track
infectious,infectious
disease,disease
turn,turn
hard,hard
news,news
story,story
case,case
covid,covid
lead,lead
protest,protest
transmission,transmission
outside,outside
graphic,graphic
health,health
organization,organization
announce,announce
team,team
international,international
expert,expert
currently,currently
confirm,confirm
novel,novel
half,half
cruise,cruise
ship,ship
japan,japan
rest,rest
among,among
country,country
asia,asia
five,five
aircraft,aircraft
head,head
city,city
beijing,beijing
shanghai,shanghai
carry,carry
ton,ton
medical,medical
supply,supply
include,include
million,million
mask,mask
hand,hand
send,send
epidemic,epidemic
prevention,prevention
purchase,purchase
government,government
miss,miss
jinping,jinping
chair,chair
body,body
meeting,meeting
control,control
former,former
minister,minister
need,need
fight,fight
virus,virus
economy,economy
reach,reach
jointly,jointly
outbreak,outbreak
foreign,foreign
ministry,ministry
heat,heat
win,win
producer,producer
yang,yang
discuss,discuss
boom,boom
movie,movie
market,market
next,next
big,big
essential,essential
today,today
listen,listen
development,development
bank,bank
may,may
provide,provide
emergency,emergency
import,import
export,export
capital,capital
affect,affect
coronavirus,coronavirus
province,province
resume,resume
provincial,provincial
transport,transport
service,service
center,center
reopen,reopen
custom,custom
tariff,tariff
commission,commission
state,state
council,council
first,first
set,set
list,list
good,good
second,second
round,round
measure,measure
live,live
information,information
office,office
brief,brief
prison,prison
three,three
suspect,suspect
two,two
hubei,hubei
zhejiang,zhejiang
death,death
report,report
patient,patient
recover,recover
discharge,discharge
hospital,hospital
since,since
mark,mark
level,level
region,region
zero,zero
tibet,tibet
autonomous,autonomous
worker,worker
nation,nation
dispatch,dispatch
front,front
line,line
central,central
epicenter,epicenter
late,late
area,area
sichuan,sichuan
declare,declare
poverty,poverty
red,red
winter,winter
opinion,opinion
solidarity,solidarity
show,show
east,east
shandong,shandong
total,total
facility,facility
guard,guard
treatment,treatment
underway,underway
chief,chief
eight,eight
official,official
remove,remove
check,check
headline,headline
economic,economic
impact,impact
see,see
response,response
effectively,effectively
contain,contain
spread,spread
part,part
medic,medic
arrive,arrive
support,support
local,local
help,help
method,method
prevent,prevent
lot,lot
science,science
communication,communication
tell,tell
nine,nine
student,student
cheer,cheer
cut,cut
insurance,insurance
firm,firm
period,period
ambassador,ambassador
hot,hot
restaurant,restaurant
know,know
offer,offer
free,free
meal,meal
join,join
battle,battle
express,express
assist,assist
nearly,nearly
third,third
risk,risk
run,run
drug,drug
ensure,ensure
medicine,medicine
foreigner,foreigner
die,die
receive,receive
call,call
amid,amid
say,say
wall,wall
street,street
journal,journal
far,far
national,national
give,give
detail,detail
research,research
institution,institution
involve,involve
trump,trump
try,try
handle,handle
share,share
effort,effort
wang,wang
confidence,confidence
ability,ability
goal,goal
eradicate,eradicate
end,end
president,president
successfully,successfully
launch,launch
number,number
drop,drop
consecutive,consecutive
day,day
allow,allow
respond,respond
quickly,quickly
act,act
wake,wake
governance,governance
system,system
hop,hop
get,get
back,back
small,small
large,large
enterprise,enterprise
operation,operation
donate,donate
batch,batch
acid,acid
test,test
kit,kit
shortage,shortage
embassy,embassy
park,park
west,west
lake,lake
scenic,scenic
remain,remain
spot,spot
sign,sign
monetary,monetary
policy,policy
priority,priority
four,four
satellite,satellite
space,space
earth,earth
observation,observation
deliver,deliver
long,long
march,march
councilor,councilor
racist,racist
like,like
remark,remark
welcome,welcome
press,press
card,card
journalist,journalist
stress,stress
protection,protection
care,care
professional,professional
material,material
protective,protective
suit,suit
break,break
accord,accord
previous,previous
maker,maker
decide,decide
revenue,revenue
inspire,inspire
wear,wear
pneumonia,pneumonia
blood,blood
plasma,plasma
treat,treat
open,open
public,public
temporarily,temporarily
suspend,suspend
entry,entry
citizen,citizen
advance,advance
action,action
diplomatic,diplomatic
charter,charter
flight,flight
evacuate,evacuate
passenger,passenger
hong,hong
base,base
reporter,reporter
article,article
real,real
man,man
publish,publish
firmly,firmly
oppose,oppose
rule,rule
