Id,Label
attack,attack
bus,bus
carry,carry
evacuee,evacuee
china,china
coronavirus,coronavirus
outbreak,outbreak
hubei,hubei
say,say
people,people
province,province
system,system
also,also
infect,infect
late,late
update,update
foreign,foreign
journalist,journalist
death,death
climb,climb
least,least
die,die
spread,spread
country,country
aid,aid
agency,agency
warn,warn
patient,patient
run,run
drug,drug
amid,amid
revoke,revoke
press,press
credential,credential
three,three
wall,wall
street,street
journal,journal
opinion,opinion
racist,racist
report,report
recover,recover
survivor,survivor
ordeal,ordeal
concern,concern
mass,mass
surveillance,surveillance
use,use
combat,combat
newly,newly
reveal,reveal
expose,expose
method,method
xinjiang,xinjiang
detention,detention
list,list
include,include
grow,grow
pray,pray
many,many
child,child
infection,infection
slow,slow
first,first
time,time
since,since
hospital,hospital
director,director
new,new
toll,toll
hit,hit
follow,follow
million,million
picture,picture
put,put
party,party
deadly,deadly
join,join
conversation,conversation
live,live
figure,figure
national,national
health,health
commission,commission
design,design
make,make
subject,subject
become,become
art,art
watch,watch
fashion,fashion
keep,keep
rise,rise
economy,economy
knock,knock
effect,effect
globally,globally
announce,announce
drop,drop
case,case
third,third
straight,straight
day,day
france,france
fatality,fatality
global,global
alarm,alarm
mount,mount
rapidly,rapidly
worried,worried
ban,ban
vehicle,vehicle
traffic,traffic
curb,curb
world,world
organization,organization
praise,praise
containment,containment
effort,effort
human,human
right,right
record,record
question,question
minister,minister
force,force
cancellation,cancellation
major,major
international,international
push,push
australian,australian
university,university
victim,victim
data,data
investigate,investigate
decade,decade
private,private
information,information
tough,tough
choice,choice
contain,contain
virus,virus
support,support
nationwide,nationwide
close,close
read,read
racism,racism
along,along
ask,ask
network,network
news,news
beijing,beijing
florist,florist
provide,provide
hand,hand
valentine,valentine
create,create
korea,korea
tell,tell
story,story
may,may
adapt,adapt
suit,suit
korean,korean
taste,taste
second,second
epidemic,epidemic
disappear,disappear
activist,activist
stand,stand
way,way
early,early
try,try
predict,predict
beginning,beginning
middle,middle
end,end
jump,jump
fear,fear
camp,camp
confirm,confirm
bring,bring
total,total
nine,nine
head,head
communist,communist
line,line
local,local
official,official
fire,fire
near,near
exceed,exceed
beyond,beyond
public,public
affect,affect
role,role
growth,growth
oil,oil
demand,demand
japanese,japanese
cruise,cruise
ship,ship
large,large
outside,outside
hong,hong
old,old
towards,towards
southeast,southeast
asian,asian
law,law
maker,maker
call,call
stop,stop
fake,fake
accuse,accuse
misinformation,misinformation
quarantine,quarantine
japan,japan
must,must
consider,consider
enemy,enemy
number,number
one,one
vaccine,vaccine
could,could
ready,ready
month,month
claim,claim
life,life
alone,alone
single,single
singapore,singapore
expect,expect
percent,percent
visitor,visitor
due,due
lunar,lunar
year,year
holiday,holiday
workplace,workplace
school,school
remain,remain
several,several
city,city
work,work
transmission,transmission
discover,discover
tip,tip
confidence,confidence
win,win
battle,battle
president,president
jinping,jinping
serious,serious
men,men
lifeline,lifeline
despite,despite
risk,risk
worker,worker
stay,stay
home,home
halt,halt
production,production
factory,factory
prevent,prevent
scale,scale
job,job
layoff,layoff
authority,authority
reportedly,reportedly
spray,spray
kill,kill
emergency,emergency
meeting,meeting
discuss,discuss
aboard,aboard
diamond,diamond
princess,princess
dead,dead
lift,lift
clear,clear
crew,crew
member,member
surge,surge
past,past
technology,technology
remember,remember
brazil,brazil
open,open
bed,bed
fight,fight
would,would
tourist,tourist
dollar,dollar
doctor,doctor
order,order
cost,cost
big,big
complex,complex
understand,understand
trace,trace
modern,modern
show,show
soon,soon
anger,anger
focus,focus
something,something
much,much
lack,lack
freedom,freedom
speech,speech
panic,panic
problem,problem
speak,speak
drone,drone
vietnam,vietnam
break,break
taiwan,taiwan
position,position
part,part
deny,deny
access,access
government,government
want,want
struggle,struggle
shutdown,shutdown
rush,rush
build,build
move,move
evacuate,evacuate
citizen,citizen
gate,gate
foundation,foundation
fund,fund
strengthen,strengthen
detection,detection
isolation,isolation
treatment,treatment
expert,expert
set,set
research,research
agenda,agenda
shop,shop
resident,resident
film,film
appear,appear
body,body
bag,bag
inside,inside
coverage,coverage
mother,mother
pass,pass
infected,infected
give,give
baby,baby
race,race
student,student
stick,stick
australia,australia
border,border
urge,urge
leave,leave
step,step
warning,warning
continue,continue
handle,handle
economic,economic
thailand,thailand
six,six
monitor,monitor
possible,possible
closure,closure
response,response
flu,flu
like,like
admit,admit
thread,thread
arrest,arrest
post,post
anti,anti
turn,turn
site,site
deal,deal
stress,stress
test,test
behind,behind
hard,hard
red,red
cross,cross
think,think
overall,overall
light,light
york,york
shanghai,shanghai
capital,capital
far,far
away,away
declare,declare
view,view
video,video
twitter,twitter
week,week
two,two
reach,reach
hundred,hundred
thousand,thousand
look,look
nightmare,nightmare
airway,airway
suspend,suspend
flight,flight
iran,iran
around,around
begin,begin
apple,apple
temporarily,temporarily
store,store
see,see
disaster,disaster
evacuation,evacuation
plan,plan
scientist,scientist
develop,develop
almost,almost
largely,largely
import,import
need,need
know,know
nearly,nearly
cause,cause
contact,contact
medical,medical
staff,staff
night,night
supply,supply
medic,medic
treat,treat
extend,extend
spike,spike
fourth,fourth
scramble,scramble
hope,hope
drastic,drastic
travel,travel
restriction,restriction
expand,expand
confirmed,confirmed
state,state
africa,africa
ambitious,ambitious
road,road
lock,lock
restrict,restrict
movement,movement
approach,approach
burn,burn
traditional,traditional
fast,fast
track,track
nobody,nobody
come,come
manage,manage
allegedly,allegedly
lie,lie
originate,originate
billionaire,billionaire
strong,strong
power,power
russia,russia
meet,meet
india,india
top,top
general,general
talk,talk
draw,draw
invest,invest
billion,billion
next,next
small,small
port,port
great,great
highly,highly
likely,likely
breaking,breaking
area,area
broaden,broaden
still,still
price,price
take,take
action,action
pandemic,pandemic
